Trail Name	Alternate Names	Trail Use Type	Trail Surface Type	Trail Origin Type	Total Length (Miles)	Counties	Governance	Partner Agencies	Status	Difficulty	Accessibility	Description	Trail History	Identity Notes	Notes	URL	Maps	Trail ID
Blacklick Woods Multipurpose Trail		Multi-Use	Gravel			Fairfield;Franklin	Metro Parks Serving Franklin County			Easy	Gravel; ADA accessible; hiking and biking			4.1-mile gravel multipurpose trail at Blacklick Woods Metro Park. ADA accessible. Also includes Canopy Walk feature: elevated 1/8-mile loop 40 feet into the tree canopy. Name qualified as 'Blacklick Woods Multipurpose Trail' to distinguish from generic 'Multipurpose Trail' names at other Metro Parks. Contained within Blacklick Woods Metro Park (FR-S-0009).		https://www.metroparks.net/parks-and-trails/blacklick-woods/		OH-MC-T-0062
Bluebell Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Dirt surface; hiking; runs alongside Blacklick Creek			1.0-mile dirt trail at Three Creeks Metro Park alongside Blacklick Creek with view of confluence of Blacklick, Big Walnut, and Alum creeks. Contained within Three Creeks Metro Park (FR-S-0024).		https://www.metroparks.net/parks-and-trails/three-creeks/		OH-FR-T-0063
Confluence Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Dirt surface; hiking; runs alongside Alum Creek			1.0-mile dirt trail at Three Creeks Metro Park alongside Alum Creek with view of confluence of three creeks, passing giant sycamores, cottonwoods, and American elms. Contained within Three Creeks Metro Park (FR-S-0024).		https://www.metroparks.net/parks-and-trails/three-creeks/		OH-FR-T-0064
Evergreen Trail		Hiking	Boardwalk			Franklin	Metro Parks Serving Franklin County			Easy	Grass, dirt, and boardwalk; hiking and pets			0.5-mile trail at Three Creeks Metro Park through white pine grove looping around natural play area. Mixed surface (grass, dirt, boardwalk). Contained within Three Creeks Metro Park (FR-S-0024).		https://www.metroparks.net/parks-and-trails/three-creeks/		OH-FR-T-0065
Heron Pond Trail		Hiking	Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; ADA accessible; hiking and biking and pets			0.6-mile paved trail at Three Creeks Metro Park looping around Heron Pond. ADA accessible. Contained within Three Creeks Metro Park (FR-S-0024).		https://www.metroparks.net/parks-and-trails/three-creeks/		OH-FR-T-0066
Turtle Pond Trail		Hiking	Gravel			Franklin	Metro Parks Serving Franklin County			Easy	Gravel; hiking and pets			0.4-mile gravel trail at Three Creeks Metro Park looping around Turtle Pond. Contained within Three Creeks Metro Park (FR-S-0024).		https://www.metroparks.net/parks-and-trails/three-creeks/		OH-FR-T-0067
Sycamore Fields and Smith Farm Trail		Hiking	Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; ADA accessible; hiking and biking and pets; loops around athletic fields with spur crossing Alum Creek Greenway			1.2-mile paved trail at Three Creeks Metro Park looping around athletic fields with a spur that crosses the Alum Creek Greenway Trail and leads to Smith Farm. ADA accessible. Contained within Three Creeks Metro Park (FR-S-0024).		https://www.metroparks.net/parks-and-trails/three-creeks/		OH-FR-T-0068
Hermit Thrush Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; through forest			0.125-mile forested trail at Scioto Audubon Metro Park. Short nature walk through forest. Contained within Scioto Audubon Metro Park (FR-S-0020).		https://www.metroparks.net/parks-and-trails/scioto-audubon/		OH-FR-T-0069
Columbus Rotary Running Track			Paved			Franklin	Metro Parks Serving Franklin County	Columbus Rotary Club (named benefactor)		Easy	Paved loop; running and walking; ADA accessible			0.5-mile paved running track loop at Scioto Audubon Metro Park. Named for Columbus Rotary Club sponsorship. Functions as a running/walking loop. Included as Trail entity due to official name and documented route; IDENTITY FLAG: May be classified as an amenity/feature rather than a Trail — flagged for Resolution. Contained within Scioto Audubon Metro Park (FR-S-0020).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/scioto-audubon/		OH-FR-T-0070
Wetland Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking			0.4-mile trail at Scioto Audubon Metro Park. NOTE: A 'Wetland Spur Trail' also exists at Highbanks — these are distinct entities at different parks. Contained within Scioto Audubon Metro Park (FR-S-0020).		https://www.metroparks.net/parks-and-trails/scioto-audubon/		OH-FR-T-0071
Mingo Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Natural surface; hiking; crosses suspension bridge; runs through prairies and along Scioto River			5.0-mile trail at Scioto Grove Metro Park, best-rated trail in the park per AllTrails users. Winds through prairies filled with wildflowers and travels along a bend in the Scioto River crossing an interesting suspension bridge. Elevation gain 104 ft. Contained within Scioto Grove Metro Park (FR-S-0021).		https://www.metroparks.net/parks-and-trails/scioto-grove/		OH-FR-T-0072
REI River Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County	REI (named benefactor)		Easy	Natural surface; hiking; river views			Trail at Scioto Grove Metro Park. The only trail where the Scioto River is almost constantly visible. Used as part of the 5.5-mile backpacking route through the park. Named for REI sponsorship. Individual mileage not confirmed. Contained within Scioto Grove Metro Park (FR-S-0021).		https://www.metroparks.net/parks-and-trails/scioto-grove/		OH-FR-T-0073
Scioto Grove Overlook Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; out-and-back along Scioto River			Trail at Scioto Grove Metro Park. Easy out-and-back trail running along the Scioto River. Used as part of the 5.5-mile backpacking route. Name qualified as 'Scioto Grove Overlook Trail' to distinguish from identically named trails at Highbanks and Blendon Woods. Individual mileage not confirmed. Contained within Scioto Grove Metro Park (FR-S-0021).		https://www.metroparks.net/parks-and-trails/scioto-grove/		OH-FR-T-0074
Scioto Grove Arrowhead Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; one-way through woods and fields			Easy one-way trail at Scioto Grove Metro Park passing through woods and fields; approximately 20-minute walk. Name qualified as 'Scioto Grove Arrowhead Trail' to distinguish from 'Arrowhead Trail' at Pickerington Ponds Metro Park — those are distinct entities at different parks. Individual mileage not confirmed. Contained within Scioto Grove Metro Park (FR-S-0021).		https://www.metroparks.net/parks-and-trails/scioto-grove/		OH-FR-T-0075
Hickory Trail		Hiking	Crushed Stone			Franklin	Metro Parks Serving Franklin County			Easy	Crushed stone surface; hiking through prairie			Short trail at Scioto Grove Metro Park through prairie with crushed stone surface. Individual mileage not confirmed. Contained within Scioto Grove Metro Park (FR-S-0021).		https://www.metroparks.net/parks-and-trails/scioto-grove/		OH-FR-T-0076
Scioto Grove Multipurpose Trail		Multi-Use	Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; multi-use (hiking, biking)			2.0-mile paved multipurpose trail at Scioto Grove Metro Park for hiking and biking. Name qualified as 'Scioto Grove Multipurpose Trail' to distinguish from generic 'Multipurpose Trail' at other parks. Contained within Scioto Grove Metro Park (FR-S-0021).		https://www.metroparks.net/parks-and-trails/scioto-grove/		OH-FR-T-0077
Quarry Trails Boardwalk Trail			Boardwalk			Franklin	Metro Parks Serving Franklin County			Easy	Boardwalk; ADA accessible; smooth surface with scenic quarry views			Short ADA-accessible boardwalk trail at Quarry Trails Metro Park with views of Turtle Cove; wildlife observation opportunities. Name qualified as 'Quarry Trails Boardwalk Trail' to distinguish from other boardwalk trails in the system. Individual mileage not confirmed. Contained within Quarry Trails Metro Park (FR-S-0018).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/quarry-trails/		OH-FR-T-0078
Tall Wall and Connector Loop		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Natural surface; hiking; loop around historic quarry			1.2-mile loop trail at Quarry Trails Metro Park around part of the historic quarry. Passes abandoned White Cemetery (Britton Cemetery) along route. IDENTITY FLAG: 'Tall Wall and Connector Loop' may be two distinct trails (Tall Wall Trail + Connector Trail) — flagged for Resolution. Contained within Quarry Trails Metro Park (FR-S-0018).		https://www.metroparks.net/parks-and-trails/quarry-trails/		OH-FR-T-0079
Quarry Trails Lake View Loop		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Natural surface; hiking; loops around two lakes			Loop trail at Quarry Trails Metro Park around two lakes: Turtle Cove and Swan Lake. Name qualified as 'Quarry Trails Lake View Loop' to distinguish from possible other Lake View trails in system. Individual mileage not confirmed. Contained within Quarry Trails Metro Park (FR-S-0018).		https://www.metroparks.net/parks-and-trails/quarry-trails/		OH-FR-T-0080
Milliken Falls Lower Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Natural surface; hiking; leads to Milliken Falls			Trail at Quarry Trails Metro Park leading to Milliken Falls. Lower trail section. Individual mileage not confirmed. Park has approximately 6 miles of trails total with more in development. Contained within Quarry Trails Metro Park (FR-S-0018).		https://www.metroparks.net/parks-and-trails/quarry-trails/		OH-FR-T-0081
Quarry Trails Mountain Bike Trail		Mountain Bike	Natural Surface			Franklin	Metro Parks Serving Franklin County			Difficult	Single-track; mountain biking; 0.75 miles of rugged terrain			0.75-mile single-track mountain bike trail at Quarry Trails Metro Park, accessible from park entrance at 2600 Dublin Road. Rugged terrain. Name qualified as 'Quarry Trails Mountain Bike Trail' to clarify park. Contained within Quarry Trails Metro Park (FR-S-0018).		https://www.metroparks.net/parks-and-trails/quarry-trails/		OH-FR-T-0082
Rocky Fork Bridle Trail		Bridle	Natural Surface			Franklin	Metro Parks Serving Franklin County			Moderate	Natural surface; equestrian; horse riding only			3.0-mile bridle trail at Rocky Fork Metro Park for equestrian use. Name qualified as 'Rocky Fork Bridle Trail' to distinguish from Prairie Oaks Bridle Trail and other bridle trails in the system. Contained within Rocky Fork Metro Park (FR-S-0019).		https://www.metroparks.net/parks-and-trails/rocky-fork/		OH-FR-T-0083
North Meadow Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking through woods and fields			1.0-mile trail at Rocky Fork Metro Park through woods and fields. Contained within Rocky Fork Metro Park (FR-S-0019).		https://www.metroparks.net/parks-and-trails/rocky-fork/		OH-FR-T-0084
Millstone Connector Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking			0.5-mile connector trail at Rocky Fork Metro Park. Contained within Rocky Fork Metro Park (FR-S-0019).		https://www.metroparks.net/parks-and-trails/rocky-fork/		OH-FR-T-0085
Dog Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking and pets			0.3-mile trail at Rocky Fork Metro Park designed for dog walking. IDENTITY FLAG: 'Dog Trail' may be an informal/descriptive name rather than an officially designated trail name — flagged for Resolution to confirm. Contained within Rocky Fork Metro Park (FR-S-0019).		https://www.metroparks.net/parks-and-trails/rocky-fork/		OH-FR-T-0086
Beech Woodland Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; through beech woodland			1.25-mile trail at Rocky Fork Metro Park through beech woodland. Parent site: Rocky Fork Metro Park. NOTE: A 'Beech Trail' at Blacklick Woods is a distinct entity. Contained within Rocky Fork Metro Park (FR-S-0019).		https://www.metroparks.net/parks-and-trails/rocky-fork/		OH-FR-T-0087
Bevelhymer Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking			0.5-mile named trail at Rocky Fork Metro Park. Named for the Bevelhymer Road area/family. Contained within Rocky Fork Metro Park (FR-S-0019).		https://www.metroparks.net/parks-and-trails/rocky-fork/		OH-FR-T-0088
Sweetgum Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; loop through sweetgum and pine stands			2.8-mile loop trail at Walnut Woods Metro Park running around Tall Pines Area through stands of sweetgum and pine trees. Contained within Walnut Woods Metro Park (FR-S-0025).		https://www.metroparks.net/parks-and-trails/walnut-woods/		OH-FR-T-0089
Walnut Woods Buckeye Trail		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking; loops alongside Walnut Creek			1.9-mile loop trail at Walnut Woods Metro Park running alongside Walnut Creek through stands of old nursery trees. IDENTITY FLAG: The trail is named 'Buckeye Trail' within the park. The statewide Buckeye Trail (multi-county) is a separate entity that may pass through or near Walnut Woods Metro Park — relationship to statewide Buckeye Trail entity uncertain. Name qualified as 'Walnut Woods Buckeye Trail' to distinguish from the statewide trail entity. Flagged for Resolution to confirm whether this is a park-internal trail named 'Buckeye Trail' or a designated segment of the statewide Buckeye Trail. Contained within Walnut Woods Metro Park (FR-S-0025).		https://www.metroparks.net/parks-and-trails/walnut-woods/		OH-FR-T-0090
Kestrel and Monarch Trail Loop		Hiking	Natural Surface			Franklin	Metro Parks Serving Franklin County			Easy	Natural surface; hiking			2.6-mile loop (longest trail) at Walnut Woods Metro Park. IDENTITY FLAG: May be two distinct trails (Kestrel Trail + Monarch Trail) combined into a loop — individual trail identities uncertain. Flagged for Resolution. Contained within Walnut Woods Metro Park (FR-S-0025).		https://www.metroparks.net/parks-and-trails/walnut-woods/		OH-FR-T-0091
Boardwalk Trail			Mixed			Franklin	Metro Parks Serving Franklin County	Inniswood Garden Society		Easy	Boardwalk and gravel; ADA accessible; winds through beech-maple forest			0.5-mile boardwalk/gravel trail at Inniswood Metro Gardens winding through beech-maple forest. ADA accessible. NOTE: A 'Boardwalk Trail' also exists at Quarry Trails Metro Park — these are distinct entities at different parks. Contained within Inniswood Metro Gardens (FR-S-0015).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/inniswood-metro-gardens/		OH-FR-T-0092
Brookwood Trail			Paved			Franklin	Metro Parks Serving Franklin County	Inniswood Garden Society		Easy	Paved; ADA accessible; crosses creek and passes Memorial and Sisters Gardens			0.5-mile paved trail at Inniswood Metro Gardens crossing a creek and passing the Memorial and Sisters' Gardens. ADA accessible. Contained within Inniswood Metro Gardens (FR-S-0015).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/inniswood-metro-gardens/		OH-FR-T-0093
Chipmunk Chatter Trail		Hiking	Paved			Franklin	Metro Parks Serving Franklin County	Inniswood Garden Society		Easy	Paved; ADA accessible; hiking and biking and pets; through woods on outside of gardens			0.6-mile paved trail at Inniswood Metro Gardens through woods on the outer perimeter of the formal garden area. ADA accessible; biking and pets permitted. Contained within Inniswood Metro Gardens (FR-S-0015).		https://www.metroparks.net/parks-and-trails/inniswood-metro-gardens/		OH-FR-T-0094
Frog Talk Walk			Boardwalk			Franklin	Metro Parks Serving Franklin County	Inniswood Garden Society		Easy	Boardwalk; ADA accessible; alongside pond and past Rose and Herb gardens			0.1-mile boardwalk trail at Inniswood Metro Gardens running alongside a pond and passing the Rose and Herb gardens. ADA accessible. Short nature walk with unique whimsical name. Contained within Inniswood Metro Gardens (FR-S-0015).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/inniswood-metro-gardens/		OH-FR-T-0095
Sister's Garden Loop			Paved			Franklin	Metro Parks Serving Franklin County	Inniswood Garden Society		Easy	Paved; ADA accessible; loops through woods and around Sister's Garden			0.25-mile paved loop trail at Inniswood Metro Gardens through woods looping around the Sister's Garden. ADA accessible. Commemorates the Innis sisters who originally owned the land. Contained within Inniswood Metro Gardens (FR-S-0015).	[MISSING use_type — flag for review]	https://www.metroparks.net/parks-and-trails/inniswood-metro-gardens/		OH-FR-T-0096
Homestead Metro Park Trail		Multi-Use	Paved			Franklin	Metro Parks Serving Franklin County			Easy	Paved; ADA accessible; multi-use (hiking, biking, inline skating, pets)			Primary loop trail at Homestead Metro Park, approximately 0.75-1.5 miles paved (sources vary; AllTrails lists 1.5-mile loop at 4.3 stars with 200+ reviews; Metro Parks describes 0.75-mile paved trail encircling main activities area). Connects to Heritage Trail (6.1-mile multi-park trail) along park's western border. ADA accessible; multi-use. IDENTITY FLAG: Mileage uncertain between 0.75 and 1.5 miles — confirm at normalization. Contained within Homestead Metro Park (FR-S-0014).		https://www.metroparks.net/parks-and-trails/homestead/		OH-FR-T-0097
Hamilton Township Park Trail	Hamilton Township Park Recreational Trail					Franklin	Hamilton Township								Recreational trail within Hamilton Township Park. Described on township website as 'a recreational trail' without length or surface detail. Field verification needed for length, surface, and trailhead location. [MISSING use_type — flag for review]	https://www.hamtwpfcoh.gov/general-8		OH-FR-T-0098
Carl Frye Park Walking Path	Carl Frye Park Trail	Hiking			7100.7	Franklin	Prairie Township								Walking path within Carl Frye Park at 318 Darbyhurst Road. Length stated as 7/10 of a mile on township website. Surface and accessibility details need field verification. Prairie CHAT Area Walking Maps referenced on township site. Source: prairietownship.org Parks and Reservations page.	https://www.prairietownship.org/491/Parks-and-Reservations		OH-FR-T-0099
Alum Creek Trail		Multi-Use			24.5	Franklin	Columbus Recreation and Parks Department	Metro Parks Serving Franklin County (daily oversight for sections within city)				Travel along one of the city's most scenic river corridors, from Westerville to Three Creeks Park.		CANONICAL TIER 6 RECORD: Alum Creek Greenway Trail (~22 mi) documented at Tier 3 only for Metro Parks connection at Three Creeks Metro Park. Columbus Recreation and Parks is the primary manager. This Tier 6 record supersedes the Tier 3 stub as the canonical record. Flag for Resolution merge. Cross-county extent uncertain — verify if trail extends into Delaware County.		https://columbusrecparks.com/facilities/trails/greenways/alum-creek-trail/		OH-FR-T-0100
Big Walnut Trail		Multi-Use	Paved		7.7	Franklin	Columbus Recreation and Parks Department					The Big Walnut Trail is a developing Central Ohio Greenway along Big Walnut Creek.		Status: developing trail. Runs along Big Walnut Creek corridor.	Paved multi-use trail following Big Walnut Creek from Morse Road south to the Gahanna Swimming Pool. Connects Academy Park, Woodside Green Park, Gahanna Municipal Golf Course, Creekside Park & Plaza, Veterans Memorial Park, and Gahanna Swimming Pool. Part of the Central Ohio Greenways system.	https://columbusrecparks.com/facilities/trails/greenways/big-walnut-trail/		OH-FR-T-0101
Blacklick Creek Trail		Multi-Use			16.0	Franklin	Columbus Recreation and Parks Department	Metro Parks Serving Franklin County				The Blacklick Creek Trail weaves users throughout the scenic Blacklick Creek corridor.		Cross-tier note: Blacklick Creek Greenway Trail (~16 mi) was documented at Tier 3 (Metro Parks; Pickerington Ponds to Blacklick Woods to Three Creeks). This Tier 6 record represents the Columbus-managed portion. Resolution must determine if these are the same trail entity or distinct named segments. Flag for deduplication review.		https://columbusrecparks.com/facilities/trails/greenways/blacklick-creek-trail/		OH-FR-T-0102
Darby Creek Trail		Multi-Use			8.3	Franklin	Columbus Recreation and Parks Department	Metro Parks Serving Franklin County (trail runs through Battelle Darby Metro Park)				Accessed from the Camp Chase Trail, the Darby Creek Trail runs through Battelle Darby Metro Park.		Cross-tier note: Darby Creek Greenway Trail was documented at Tier 3 (Metro Parks; 8.3 mi at Battelle Darby + 4.7 mi at Prairie Oaks). The Columbus-branded 'Darby Creek Trail' may be the same entity or a segment. Resolution must determine canonical identity. Possible extends into Madison County via Camp Chase connection.		https://columbusrecparks.com/facilities/trails/greenways/darby-creek-trail/		OH-FR-T-0103
Downtown Connector Trail		Multi-Use			5.0	Franklin	Columbus Recreation and Parks Department					The Downtown Connector Trail provides west-east connectivity to the Alum Creek Trail.				https://columbusrecparks.com/facilities/trails/greenways/downtown-connector-trail/		OH-FR-T-0104
Genoa Trail		Multi-Use			2.13	Franklin	Columbus Recreation and Parks Department					The Genoa Trail is a section of the Ohio to Erie Trail that stretches from Big Walnut Road to Plumb Road.		Source identifies this as a section of the Ohio to Erie Trail (OTET). May be a Trail Segment of OTET rather than a standalone Trail. Flag for Resolution identity review: standalone Trail vs. Trail Segment of OTET.		https://columbusrecparks.com/facilities/trails/greenways/genoa-trail/		OH-FR-T-0105
Hayden Run Trail		Multi-Use			1.97	Franklin	Columbus Recreation and Parks Department					The Hayden Run Trail is a developing Central Ohio Greenway from Northwest Columbus to Hilliard along Hayden Run.		Status: developing trail. Extends toward Hilliard — may cross into Hilliard municipal jurisdiction. Verify county extent.		https://columbusrecparks.com/facilities/trails/greenways/hayden-run-trail/		OH-FR-T-0106
Hellbranch Trail		Multi-Use	Paved		5.6	Franklin	Columbus Recreation and Parks Department					The Hellbranch Trail is a mix of asphalt and gravel trails and runs from Spindler Road Park to the Heritage Trail.		Runs from Spindler Road Park to Heritage Trail. Note: Hellbranch Meadows (Franklin SWCD ownership) was flagged at Tier 5 as a special district entity; this trail is distinct from that parcel.		https://columbusrecparks.com/facilities/trails/greenways/hellbranch-trail/		OH-FR-T-0107
Olentangy Trail		Multi-Use			14.0	Delaware;Franklin	Columbus Recreation and Parks Department	City of Worthington; Delaware County (northern extent)				The Olentangy Trail spans from Worthington to downtown Columbus, along the scenic Olentangy River.		Multi-county trail: extends from Worthington (Franklin) northward — may cross into Delaware County. Columbus manages the Franklin County portion. Verify if 'Olentangy Trail' and 'Olentangy Greenway Trail' are the same entity. Distinct from Olentangy River Water Trail (paddling; Tier 2/Tier 6 blueway).		https://columbusrecparks.com/facilities/trails/greenways/olentangy-trail/		OH-MC-T-0108
Rocky Fork Trail		Multi-Use			3.57	Franklin	Columbus Recreation and Parks Department	Metro Parks Serving Franklin County (Rocky Fork Metro Park)				The Rocky Fork Trail is a developing Central Ohio Greenway along Rocky Fork Creek.		Status: developing trail. Runs along Rocky Fork Creek; connects to Rocky Fork Metro Park (Tier 3).		https://columbusrecparks.com/facilities/trails/greenways/rocky-fork-trail/		OH-FR-T-0109
Scioto Trail		Multi-Use			5.6	Franklin	Columbus Recreation and Parks Department	Metro Parks Serving Franklin County (Scioto Greenway Trail sections)				The Scioto Trail stretches through the heart of downtown Columbus along the Scioto River.		Cross-tier note: Scioto Greenway Trail (~12 mi) was documented at Tier 3 (Metro Parks manages ~11 mi). The Columbus-branded 'Scioto Trail' runs along the Scioto River through downtown. Resolution must determine if these are the same entity or distinct trails with overlapping corridors.		https://columbusrecparks.com/facilities/trails/greenways/scioto-trail/		OH-FR-T-0110
Paddle Gahanna & Blueways		Water	Water			Franklin	City of Gahanna Parks & Recreation								Designated water trail / blueway along Big Walnut Creek through Gahanna. Provides paddling access points including Friendship Park launch. Branded separately by City of Gahanna Parks & Recreation.	https://www.gahanna.gov/328/Parks-Trails		OH-FR-T-0111
Westerville B&W (Bike & Walk Route)		Hiking	Paved		2.2	Franklin	City of Westerville Parks & Recreation								2.2-mile paved multi-use path on former railroad right-of-way through Westerville. Runs from Hoover Reservoir on the east to Worthington Road on the west. Managed by City of Westerville Parks & Recreation. Note: The 'Alum Creek Trail' (15+ miles) also passes through Westerville but is managed by Columbus Recreation and Parks (documented at Tier 6 Columbus). City claims 51 miles total of trails, bike lanes, and marked streets — this figure includes the full multi-modal network, not just off-road paths.	https://parks.westerville.org/parks-trails/parks		OH-FR-T-0112
Heritage Rail Trail		Multi-Use	Paved		6.1	Franklin	City of Hilliard Recreation and Parks								7-mile multi-use trail on former railroad corridor connecting Hilliard to near Plain City, Madison County. Route runs NW from Station Park through farmland, residential neighborhoods, and downtown Old Hilliard. Over half of the trail has a parallel 4-mile horse trail. Connects to Homestead Park (Washington Township) and Roger A. Reynolds Municipal Park. Own domain: heritagerailtrail.org. CROSS-TIER FLAG: Check against 'Heritage Trail' documented at Tier 6 Columbus — may be same or related entity. Multi-county: Franklin + Madison (county boundary near Plain City). Trailhead/staging area address per third-party: ~4675 Cosgray Rd (northern staging area). [MISSING use_type — flag for review]	https://hilliardohio.gov/our-parks/		OH-FR-T-0113
Scioto Run Nature Trail		Hiking	Natural Surface		1.0	Franklin	City of Hilliard Recreation and Parks								1-mile loop trail through wooded natural area in Scioto Run subdivision. Includes picnic area and benches. Managed by City of Hilliard; trail stewardship also shared with Scioto Run Civic Association. [MISSING use_type — flag for review]	https://hilliardohio.gov/our-parks/		OH-FR-T-0114
Canal Winchester Trail System		Multi-Use	Paved		8.0	Franklin	City of Canal Winchester Parks & Recreation								City-managed network of ~8 miles of multi-use paths connecting parks, historic sites, and scenic green spaces throughout Canal Winchester. Includes Walnut Creek Trail and Winchester Trail as named segments. Trail links Hanners Park, Westchester Park, McGill Park, and the downtown area. TrailLink listing: Canal Winchester Trail System. Exact trailhead addresses not confirmed from web search. MUST VERIFY via browser. [MISSING use_type — flag for review]	https://www.canalwinchesterohio.gov/164/Parks-and-Recreation		OH-FR-T-0115
Scioto River Water Trail		Water	Water	Natural	33.9	Franklin	Columbus Recreation and Parks Department; City of Dublin Recreation Services	MORPC; Columbus and Franklin County Metro Parks	Open	Easy to Difficult		Water trail along the Scioto River through Franklin County from Dublin south to Scioto Grove Metro Park. Four mandatory dam portages. Member of the Central Ohio Blueways network.		Part of MORPC Central Ohio Blueways network (FR-TN-0003). Approximately 33.9 miles per MORPC GIS data.		https://www.morpc.org/central-ohio-blueways/		OH-FR-T-0116
Alum Creek Water Trail		Water	Water	Natural	26.2	Delaware;Franklin	Columbus Recreation and Parks Department; Ohio Department of Natural Resources (Alum Creek State Park)	MORPC; Columbus and Franklin County Metro Parks	Open	Easy		Water trail along Alum Creek and Hoover Reservoir from Delaware County through Franklin County. Mandatory portage at Hoover Reservoir Dam. Member of the Central Ohio Blueways network.		Multi-county; Delaware County upper terminus (A1) held. Part of MORPC Central Ohio Blueways (FR-TN-0003).		https://www.morpc.org/central-ohio-blueways/		OH-MC-T-0117
Big Darby Creek Water Trail		Water	Water	Natural	23.4	Franklin	Columbus and Franklin County Metro Parks (Battelle Darby Creek Metro Park); Columbus Recreation and Parks Department	MORPC; Big Darby Accord	Open	Easy		Water trail along Big Darby Creek through western Franklin County through Battelle Darby Creek Metro Park. Big Darby Creek is an Ohio and National Scenic River. Member of the Central Ohio Blueways network.		Big Darby is an Ohio and National Scenic River. Part of MORPC Central Ohio Blueways (FR-TN-0003).		https://www.morpc.org/central-ohio-blueways/		OH-FR-T-0118
Big Walnut Creek Water Trail		Water	Water	Natural	37.6	Delaware;Franklin	Columbus Recreation and Parks Department; City of Gahanna Parks & Recreation	MORPC; Columbus and Franklin County Metro Parks	Open	Easy to Moderate		Water trail along Big Walnut Creek from Delaware County through Franklin County. Mandatory portage at Creekside Park footbridge in Gahanna. Lower Gahanna segment also marketed as Paddle Gahanna & Blueways (FR-T-0111). Member of the Central Ohio Blueways network.		Multi-county; Delaware upper terminus (BW1) held. Part of MORPC Central Ohio Blueways (FR-TN-0003). Lower Gahanna segment overlaps FR-T-0111.		https://www.morpc.org/central-ohio-blueways/		OH-MC-T-0119
Big Run Trail		Multi-Use	Paved			Franklin	Columbus Recreation and Parks Department	Columbus and Franklin County Metro Parks	Planned			Planned multi-use greenway trail along Big Run Creek in southwest Columbus, connecting to the Camp Chase Trail and Scioto Trail corridors. Shown as a future corridor on the 2023 Central Ohio Greenways map. Big Run Metro Park anchors the corridor.		Shown as future/planned (dotted) corridor on April 2023 Columbus Recreation and Parks Central Ohio Greenways map. Not yet launched on Columbus Rec Parks greenways website as of March 2026. Trail will connect south Columbus neighborhoods along Big Run Creek. Tier 6 — Columbus Recreation and Parks as primary developer. Status: Planned.		https://columbusrecparks.com/facilities/trails/greenways/		OH-FR-T-0120
