Unit_Nm,EsmtHldr,d_Own_Name,d_Mang_Name,GAP_Sts,d_GAP_Sts,GIS_Acres,Pub_Access,d_Pub_Access,Des_Tp,d_Des_Tp,NCED_UID,Duration
"Wetlands Reserve Program (WRP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,16,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,17,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,27,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,35,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,37,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,12,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Ashtabula, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,67,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Belmont, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,38,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Brown, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,49,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Brown, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,36,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Brown, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,11,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Carroll, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,77,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Carroll, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,94,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,48,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,131,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,165,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,15,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,29,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,53,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,49,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,77,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,54,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,22,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,120,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,48,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,93,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,118,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Champaign, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,10,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Clark, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,51,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Clermont, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,14,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Clermont, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,15,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Clinton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,32,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Columbiana, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,41,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Crawford, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,12,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,13,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,22,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,48,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,108,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,51,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,47,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,60,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,10,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,30,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,59,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,9,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,21,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,10,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Darke, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,36,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,10,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,13,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,14,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,19,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,10,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,9,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,10,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,20,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,20,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,14,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,18,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,11,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,20,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,20,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,43,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,33,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,24,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Defiance, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,36,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Delaware, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,15,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Erie, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,122,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Erie, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,197,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Erie, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,33,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Erie, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,11,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fairfield, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,23,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Fayette, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,19,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Franklin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,31,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Franklin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,201,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Franklin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,370,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Franklin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,20,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Franklin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,33,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,11,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,15,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,19,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,28,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,33,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,48,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,60,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,81,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,82,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,97,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,120,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,120,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,121,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,16,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,33,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,43,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,58,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,80,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,86,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,10,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,31,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,42,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,17,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,31,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,80,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,45,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,74,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,12,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,40,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,63,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,98,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,40,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,22,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,24,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Fulton, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,29,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,46,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,135,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,9,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,24,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,117,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,34,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,17,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,15,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Geauga, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,15,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,26,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,39,XA,Closed,CONE,Conservation Easement,,TEMP
"Wetlands Reserve Program (WRP), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,192,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,59,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Greene, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,46,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Hancock, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,36,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Hancock, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,6,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Hancock, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,18,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Hardin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,22,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Hardin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,37,XA,Closed,CONE,Conservation Easement,,PERM
"Wetlands Reserve Program (WRP), Hardin, OH",NRCS - Admin State OH,Private,Natural Resources Conservation Service,"2",2 - managed for biodiversity - disturbance events suppressed,57,XA,Closed,CONE,Conservation Easement,,PERM
