name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	habitat_type	features	access_notes	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	notes	url_primary	urls	last_verified_date	field_verified	parent_site_id	parent_site_name	created_at	updated_at	ebird_hotspot_id
Lynn Grove Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							SR 3 north of TR 265, Buck Township, Hardin County		Hardin			40.593459	-83.568540			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Wolfcreek Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							SR 31 north of TR 265, Buck Township, Hardin County		Hardin			40.593655	-83.568098			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Indian Burial Grounds (Buck Township)	Historic Site	Archaeological Site		Unknown	Unknown (heritage site)	Unknown (heritage site)							North of TR 184 and east of CR 155, Buck Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Behler Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							800 feet west of CR 135 and 1320 feet south of CR 90, Cessna Township, Hardin County		Hardin			40.699949	-83.657804			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Bunn Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							South side of CR 106 and 880 feet west of CR 135, Cessna Township, Hardin County		Hardin			40.660592	-83.658041			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Fulton Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							East side of TR 115 and 1/4 mile south of US 309, Cessna Township, Hardin County		Hardin			40.685100	-83.691800			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Huntersville Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							TR 74 east of CR 75 and north of SR 309, Cessna Township, Hardin County		Hardin			40.722700	-83.763074			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Salem Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family/church)	Unknown (private/family/church)							North of TR 80 and west of CR 135, Cessna Township, Hardin County		Hardin			40.744000	-83.399300			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Strahm Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							NE 1/4 mile on 526 north of TR 106, Cessna Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Craig Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							40 feet off CR 200, between CR 219 and TR 217, Dudley Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Fisher Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							NE corner CR 200 and CR 219 on Wildcat Creek, Dudley Township, Hardin County		Hardin			40.742669	-83.936385			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Hepburn Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							North side of CR 144, east of CR 265 and Pfeiffer Station, Dudley Township, Hardin County		Hardin			40.622094	-83.487844			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Vanfleet Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							South CR 144, Dudley Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Otterbein Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family/church)	Unknown (private/family/church)							SE corner of CR 190 and CR 209, Dudley Township, Hardin County		Hardin			40.583739	-83.504332			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Pfeiffer Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							CR 144 between TR 205 and TR 209, Dudley Township, Hardin County		Hardin			40.623312	-83.511512			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Ward Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							West side of TR 24, 1000 feet off SR 309, Dudley Township, Hardin County		Hardin			40.658320	-83.956287			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Wheeler Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							Marion CR 29 between CR 219 and 2405, 100 yards north side, Dudley Township, Hardin County		Hardin			40.634259	-83.345139			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Dille Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							Old Mt. Victory, south off Marion Street, east of SR 31, Hale Township, Hardin County		Hardin			40.532055	-83.518094			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Jennings Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							West part of Hale Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Rarey Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							A.K. Rarey farm on SR 292, west side, south of CR 190, Hale Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Schurtzer Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							Curve near intersection CR 20 and CR 2, south side, Hale Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Briggs Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							West of Forest, north side of railroad, Jackson Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Glenn Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							East Lima Street, Forest, Jackson Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Price-Patterson Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							TR 195 north of SR 81 at Patterson on west side, Jackson Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Armorsville Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							CR 15, 1/2 mile south of CR 10, east side, Liberty Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Candler Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							50 feet NE CR 15 and TR 30, Liberty Township, Hardin County		Hardin			40.792059	-83.879390			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Kindle Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							250 feet north of TR 30, east of CR 15, Liberty Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Maysville Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							300 ft north SR 309, east of Allen/Hardin line, Liberty Township, Hardin County		Hardin			40.733467	-83.877516			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
McElroy Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							East side CR 65, 900 feet north of CR 20, Liberty Township, Hardin County		Hardin			40.808315	-83.784307			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Thorn Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							SR 235 and TR 30, SE corner, Liberty Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Carman Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							South side SR 309, 1 mile east of Maysville, Marion Township, Hardin County		Hardin			40.732119	-83.861723			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Preston Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							South side CR 90, south of SR 309, east of Alger, Marion Township, Hardin County		Hardin			40.710099	-83.822396			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Shadley Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							North side CR 90, 1 mile west of SR 195, Marion Township, Hardin County		Hardin			40.710565	-83.802999			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Fultz Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							East of CR 75, north of SR 67, behind church, McDonald Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Harvey Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							5226 SR 67, south side across from Fairview Cemetery, McDonald Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Indian Burial Grounds (McDonald Township)	Historic Site	Archaeological Site		Unknown	Unknown (heritage site)	Unknown (heritage site)							TR 39 (Reed Road) east side, McDonald Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
McArthur Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							16481 Reed Road (TR 39), 1/2 mile south back lane, McDonald Township, Hardin County		Hardin			40.580756	-83.822492			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Poe Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							3463 CR 200, east of SR 235, 1/2 mile from Roundhead Township, in woods, McDonald Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Chesney Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							Pleasant Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
County Home Cemetery	Cemetery	Private Cemetery		Active	Hardin County (former county home)	Hardin County (former county home)							CR 1143A, 1/2 mile south of SR 309, Kenton/Pleasant Township, Hardin County		Hardin			40.400330	-83.808824			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Pioneer Cemetery (Kenton)	Cemetery	Public Cemetery		Active	Unknown (private/historical)	Unknown (private/historical)							Corner of Franklin and Sciota Street, Kenton, Pleasant Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Osborn Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							222 Harrison Street, Kenton/Pleasant Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Spitzer Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							South of TR 104 between TR 189 and CR 195, Pleasant Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Bowdle Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							15346 SR 117, north of SR 67, west side of road on hill, Roundhead Township, Hardin County		Hardin			40.597738	-83.871700			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
H. Hemphill Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							TR 180, Roundhead Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Marsh Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							14553 NE corner TR 152 and TR 21, Roundhead Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Pleasant Hill (Old) Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/township)	Unknown (private/township)							SR 235 north of SR 67 and CR 150, west side, Roundhead Township, Hardin County		Hardin			40.827361	-83.908292			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Rutledge Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							15609 SR 117, north of SR 67, west field, Roundhead Township, Hardin County		Hardin			40.594515	-83.866490			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Schneider Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							200 yards north TR 160, Roundhead Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Bailey Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							SW corner CR 155, off CR 200, in field near tree, Taylor Creek Township, Hardin County		Hardin			40.554775	-83.636041			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Wroten Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							CR 180, south side of road, between CR 115 and TR 119, Taylor Creek Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Jones Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							North side CR 14, east of CR 95, Washington Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Smith Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							NW corner SR 701 and TR 105, Washington Township, Hardin County		Hardin			40.732900	-83.710400			https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Waggoner Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							SE corner SR 81 and CR 135, Washington Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
Wagner Cemetery	Cemetery	Public Cemetery		Active	Unknown (private/family)	Unknown (private/family)							Between CR 115 and TR 105, south of SR 81, Washington Township, Hardin County		Hardin							https://sites.rootsweb.com/~ohcps/hardin.html	https://sites.rootsweb.com/~ohcps/hardin.html	2026-06-01	false			2026-06-01T00:00:00+00:00	2026-06-01T00:00:00+00:00	
