Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,Unnamed: 21
Yankee Park,Park District Park,"Large community park with tennis courts, pickleball, baseball diamonds, soccer fields, football practice areas, playground, paved trails, and picnic shelter",Active,Centerville-Washington Park District,Centerville-Washington Park District,,7500 Yankee Street,36.679,Centerville / Washington Township,Montgomery,"39.6208,-84.1697","9G22+Q5 Centerville, Ohio",Trail,,Multi-Use Trail,Multi-Use Trail,,Playground; Tennis Court; Pickleball Court; Baseball Diamond; Soccer Pitch; Football Field; Picnic Shelter; Restroom; AED; Little Free Library,Paved multi-use trails (0.82-mile perimeter; 0.19-mile center path); historic multi-parcel acquisition,https://cwpd.org/parks/yankee/,
Hardscrabble Park,Municipal Park,Wooded natural area with informal trails,Active,City of Clayton,City of Clayton,,100 W. Mill St.,,Clayton,Montgomery,"39.8633,-84.3279","86MQ+8C Clayton, Ohio",Trail,,Nature Trail,Hiking Trail,,,,,http://clayton.oh.us/Facilities/Facility/Details/1
Northmont High School Outdoor Athletic Complex,Public School Property,Outdoor athletic fields and track for Northmont High School,Active,Northmont City Schools,Northmont City Schools,,"4916 National Rd., Clayton, OH 45315",,Clayton,Montgomery,"39.859,-84.323","86JQ+9W Clayton, Ohio",,,,,,Football Field; Soccer Pitch; Lacrosse Field; Track,School athletic facilities,https://www.northmontschools.com,
Northview Park,Municipal Park,Neighborhood park with playground and open green space,Active,City of Clayton,City of Clayton,,"Northview Park, Lavon Ct.",,Clayton,Montgomery,"39.858,-84.3165","86JQ+8H Clayton, Ohio",,,,,,Playground,,,http://clayton.oh.us/Facilities/Facility/Details/3
Union & Old Salem Trail Spur,Trail Access Point,Small public trail spur connecting neighborhoods to regional bikeway,Active,Montgomery County,,,Old Salem Rd. at Union Blvd.,,Clayton,Montgomery,"39.8614,-84.3238","86MQ+7C Clayton, Ohio",Bikeway Access Point,Great Miami River Trail,,Access Point,,,Neighborhood connector segment,https://www.mcohio.org,
Westbrook Park,Municipal Park,Neighborhood park with playground and open space,Active,City of Clayton,City of Clayton,,"Westbrook Park, Jean Dr.",,Clayton,Montgomery,"39.8674,-84.3194","86MQ+3X Clayton, Ohio",,,,,,Playground,,,http://clayton.oh.us/Facilities/Facility/Details/2
Westbrook Road Bikeway Access Point,Trail Access Point,Access point to the regional bikeway system,Active,Montgomery County,Montgomery County,,"Westbrook Rd. near Union Blvd., Clayton, OH 45315",,Clayton,Montgomery,"39.868,-84.323","86MQ+3W Clayton, Ohio",Bikeway Access Point,Great Miami River Trail,,Access Point,,,Part of the regional bikeway network,https://www.mcohio.org,
Aullwood Audubon Center and Farm,Private Nature Reserve,"National Audubon sanctuary with prairies, forests, wetlands, farm, and extensive trails; includes farm and nature center",Active,National Audubon Society,National Audubon Society,,"1000 Aullwood Rd., Dayton, OH 45414",200,Dayton,Montgomery,"39.867,-84.29","86J6+H8 Dayton, Ohio",Trail,,Nature Trail,Hiking Trail,,Nature Center; Gardens,Includes Aullwood Farm and Nature Center,https://aullwood.audubon.org,
Aullwood Garden MetroPark,Park District Park,Environmental education gardens; adjacent to Aullwood Audubon,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"955 Aullwood Rd, Dayton, OH 45414",31,Dayton,Montgomery,"39.8684,-84.2874","86J6+JH Dayton, Ohio",,,,,,Gardens,Adjacent to Aullwood Audubon,https://www.metroparks.org,
Belmont Park,Municipal Park,Baseball/softball diamond; shelters; playground; restrooms; tennis; soccer,Active,City of Dayton,City of Dayton,,"957 Lynhurst Ave., Dayton, OH 45420",55,Dayton,Montgomery,"39.729,-84.129","8FPX+H7 Dayton, Ohio",,,,,,Baseball Diamond; Picnic Shelter; Playground; Restroom; Tennis Court; Soccer Pitch,,https://www.daytonohio.gov/Facilities/Facility/Details/Belmont-Park-Shelter-12,
Bomberger Park,Municipal Park,Playground; open green space; walking paths; community recreation area,Active,City of Dayton,City of Dayton,,"E. Fifth St. & Keowee St., Dayton, OH 45403",5.5,Dayton,Montgomery,"39.757,-84.169","8FQH+Q3 Dayton, Ohio",,,,,,Playground,Open green space; walking paths; community recreation area,https://parkmagnet.com/united-states/ohio/dayton/bomberger-park,
Burkham Park,Municipal Park,Playground; basketball court; parking; picnic tables; restrooms; soccer; tennis; water access,Active,City of Dayton,City of Dayton,,"679 S. Broadway St., Dayton, OH 45417",,Dayton,Montgomery,"39.7445,-84.216","8FJH+9W Dayton, Ohio",,,,,,Playground; Basketball Court; Restroom; Tennis Court; Soccer Pitch,Picnic tables; parking; water access,https://www.daytonohio.gov/Facilities/Facility/Details/Burkham-Park-Shelter-North-13,
Burns Jackson Park,Municipal Park,Baseball/softball diamond; basketball court; picnic tables; playground; soccer field; tennis court,Active,City of Dayton,City of Dayton,,"552 Buckeye St., Dayton, OH 45410",8,Dayton,Montgomery,"39.754,-84.1695","8FQH+P2 Dayton, Ohio",,,,,,Baseball Diamond; Basketball Court; Playground; Soccer Pitch; Tennis Court,Picnic tables,https://www.daytonohio.gov/Facilities/Facility/Details/Burns-Jackson-Park-Shelter-16,
Burton Street Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Burton St., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Carillon Historical Park,Historical Park,"Open-air museum with historic buildings, exhibits, and the Wright Flyer III",Active,Dayton History,Dayton History,,"1000 Carillon Blvd., Dayton, OH 45409",65,Dayton,Montgomery,"39.731,-84.191","85C2+6R Dayton, Ohio",,,,,,,Open-air museum; historic buildings; Wright Flyer III; part of Dayton History campus,https://www.daytonhistory.org,
Carillon Park Connector Corridor,Controversial,Trail and greenway corridor linking RiverScape and Carillon,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Great Miami River near Carillon Blvd., Dayton, OH",,Dayton,Montgomery,"39.7285,-84.1997",,,,,,,,,Connector corridor,
Centennial Field,Municipal Park,Football field; bleachers; parking; athletic turf,Active,City of Dayton,City of Dayton,,"504 E. Helena St., Dayton, OH 45404",,Dayton,Montgomery,"39.781,-84.178","85G2+XW Dayton, Ohio",,,,,,Football Field,Bleachers; parking; athletic turf,https://www.daytonohio.gov/REC,
Cleveland Park,Municipal Park,Baseball/softball diamond; basketball court; picnic tables; playground; soccer field,Active,City of Dayton,City of Dayton,,"3200 Cleveland Ave., Dayton, OH 45420",9.8,Dayton,Montgomery,"39.741,-84.14","8FPX+9Q Dayton, Ohio",,,,,,Baseball Diamond; Basketball Court; Playground; Soccer Pitch,Picnic tables,,
College Hill Park,Municipal Park,Playground; restrooms; tennis court; walking paths,Active,City of Dayton,City of Dayton,,"3222 Harvard Blvd., Dayton, OH 45406",5,Dayton,Montgomery,"39.783,-84.216","8FJH+XH Dayton, Ohio",,,,,,Playground; Restroom; Tennis Court,Walking paths,https://www.mypacer.com/parks/165637/college-hill-park-dayton,
Cox Arboretum and Gardens MetroPark,Park District Park,"Arboretum, gardens, nature trails, butterfly house",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"6733 Springboro Pike, Dayton, OH 45449",174,Dayton,Montgomery,"39.65368,-84.22789","8FHG+Q5 Dayton, Ohio",,,,,,Gardens; Nature Trail,Arboretum; butterfly house; botanical focus,,
Cricket Holler,BSA Camp,"BSA camp with forest, trails, and camp facilities",Active,Boy Scouts of America - Miami Valley Council,Boy Scouts of America - Miami Valley Council,,"6675 Brantford Rd, Dayton, OH 45414",160,Dayton,Montgomery,"39.837,-84.26","86H3+Q3 Dayton, Ohio",,,,,,,Forest; trails; camp facilities,https://www.miamivalleytrails.org,
Dayton 2nd Street Market,Recreation Facility,Indoor public market operated by Five Rivers MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"600 E 2nd St., Dayton, OH 45402",,Dayton,Montgomery,"39.761,-84.178","85G2+QW Dayton, Ohio",,,,,,,MetroParks-operated indoor public market,https://www.metroparks.org,
Dayton View Park,Municipal Park,Basketball court; electricity; picnic tables; playground; restrooms; water availability,Active,City of Dayton,City of Dayton,,"600 Edgewood Ave., Dayton, OH 45402",8.2,Dayton,Montgomery,"39.772,-84.216","8FJH+W2 Dayton, Ohio",,,,,,Basketball Court; Playground; Restroom,Picnic tables; electricity; water availability,https://www.daytonohio.gov/facilities/facility/details/Dayton-View-Park-Shelter-19,
Dayton View Triangle Green,Municipal Green Space,Park-like neighborhood green with mature trees and scenic landscape,Active,City of Dayton,City of Dayton,,"Salem Ave., Philadelphia Dr., & Cornell Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,https://liveindayton.org/dayton-view-triangle/,
Deeds Dog Park,Municipal Park,Fenced dog areas; water fountains; seating; shade; double-gated entrance,Active,City of Dayton,City of Dayton,,"555 Webster St., Dayton, OH 45404",,Dayton,Montgomery,"39.769,-84.178","8FQG+QW Dayton, Ohio",,,,,,Dog Park,,https://www.bringfido.com/attraction/12612/,
Deeds Point Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to Deeds Point MetroPark,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Webster St., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Deeds Point MetroPark,Park District Park,Scenic riverfront park at confluence of Mad and Great Miami Rivers,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"510 Webster St., Dayton, OH 45402",,Dayton,Montgomery,"39.769513,-84.183481",,,,,,,,Overlooks downtown Dayton,,
DeWeese Park,Municipal Park,Parking; picnic tables; wooded trails; river access; walking & hiking routes,Active,City of Dayton,City of Dayton,,"1301 E. Siebenthaler Ave., Dayton, OH 45414",159,Dayton,Montgomery,"39.802,-84.194","85GQ+X2 Dayton, Ohio",,,,,,Walking Trail; Picnic Area,River access,https://www.daytonohio.gov/Facilities/Facility/Details/DeWeese-Park-21,
Dull Woods Conservation Area,Park District Conservation Area,High?quality swamp forest remnant with mature wetland trees; adjacent to the Wolf Creek Trail,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"8199 Cole St., Brookville, OH 45309",8,Dayton,Montgomery,"39.51275,-84.27154",,,,,,,,Wolf Creek Trail adjacency.,https://www.metroparks.org/,
Eastwood MetroPark,Park District Park,"Lake, river corridor, trails, boating, fishing",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"1385 Harshman Rd., Dayton, OH 45431",441,Dayton,Montgomery,"39.7850,-84.1350",,,,,,,Lake; River Access; Trail,,Lake + river access,
Edgemont Cemetery,Cemetery,Small historic cemetery serving the Edgemont neighborhood,Active,City of Dayton,City of Dayton,,"Edgemont Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.742,-84.216","85CW+V2 Dayton, Ohio",,,,,,,Historic cemetery with mature trees.,,
Edgemont Community Green,Municipal Green Space,Urban agriculture space; community gathering area,Active,City of Dayton,City of Dayton,,"Edgemont neighborhood, Dayton, OH",,Dayton,Montgomery,,,,,,,,,,https://www.greateredgemont.com/about,
Edgemont Solar Garden Green,Municipal Green Space,Community greenhouse; farmers markets; workshops; food production space,Active,City of Dayton,City of Dayton,,"907 Miami Chapel Rd., Dayton, OH 45417",,Dayton,Montgomery,"39.7415,-84.2178",,,,,,,,,https://www.greateredgemont.com/action/edgemont-solar-garden,
Feedwire Road Covered Bridge,Covered Bridge,Wooden covered bridge relocated from Little Sugar Creek; preserved within Carillon Historical Park,Preserved,City of Dayton,City of Dayton,,"Carillon Historical Park, 1000 Carillon Blvd., Dayton, OH 45409",,Dayton,Montgomery,"39.728,-84.2","85C2+5Q Dayton, Ohio",,,,,,,Originally located on Feedwire Road; only covered bridge in the park,https://www.daytonhistory.org/,
Five Oaks Park,Municipal Park,Baseball/softball diamond; electricity; picnic tables; playground; restrooms; spray park; water availability,Active,City of Dayton,City of Dayton,,"300 5 Oaks Ave., Dayton, OH 45405",,Dayton,Montgomery,"39.779,-84.216","85FW+X2 Dayton, Ohio",,,,,,Baseball Diamond; Playground; Restroom; Spray Park,Picnic tables; electricity; water availability,https://www.daytonohio.gov/facilities/facility/details/Five-Oaks-Park-Shelter-22,
Frederick Pike / Shoup Mill Conservation Tract,Park District Conservation Area,Riparian forest and floodplain habitat near Frederick Pike and Shoup Mill Rd; important for water quality and wildlife movement,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Gettysburg Avenue Green,Municipal Green Space,No listed amenities; potential redevelopment green space,Active,City of Dayton,City of Dayton,,"N. Gettysburg Ave., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,https://www.wdtn.com/news/dayton-repurposes-old-gas-station-sites-for-new-developments/,
Great Miami River Access (MetroParks),Fishing Access,River access point managed by Five Rivers MetroParks along the Great Miami River corridor. Provides shoreline access within a regional greenway system.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Carillon Blvd., Dayton, OH",,Dayton,Montgomery,,,Trail Access Point,Great Miami River Trail,Access Segment,Access Point,,River Access,,https://www.metroparks.org/,
Great Miami River Corridor (Dayton Segment),Greenway,Linear riverfront greenway forming part of the Great Miami River Trail system. Provides continuous corridor access along the Great Miami River through Dayton.,Active,City of Dayton,City of Dayton,,"Great Miami River, Dayton, OH",,Dayton,Montgomery,,,Trail System,Great Miami River Trail,Linear,Access Point,,Multi Use Trail,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Great Miami River Floodplain Tract,Park District Conservation Area,Floodplain forest and riparian habitat managed for ecological protection along the Great Miami River. Part of MetroParks' conservation holdings.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,Prairie Restoration Area; Wildlife Viewing Area,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Greater Dayton Recreation Center,Recreation Facility,"Indoor recreation facility with gymnasium, fitness amenities, and community programming. Serves as a major municipal recreation hub.",Active,City of Dayton,City of Dayton,,"2021 W. Third St., Dayton, OH 45417",,Dayton,Montgomery,"39.7561,-84.2255",,,,,,,Community Center; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Greater-Dayton-Recreation-Center-23,
Hickorydale Park,Municipal Park,Neighborhood park with wooded areas and open green space. Provides local passive recreation opportunities.,Active,City of Dayton,City of Dayton,,"3000 Shiloh Springs Rd., Dayton, OH 45406",,Dayton,Montgomery,"39.8093,-84.2865","86C2+5X Dayton, Ohio",,,,,,Walking Paths,,https://www.mypacer.com/parks/165639/hickorydale-park-dayton,
Highland Park,Municipal Park,Community park offering open green space and basic recreational amenities. Serves surrounding residential neighborhoods.,Active,City of Dayton,City of Dayton,,"2000 Revere Ave., Dayton, OH 45406",,Dayton,Montgomery,"39.781,-84.2185","86F7+Q7 Dayton, Ohio",,,,,,Playground; Basketball Court,,https://www.mypacer.com/parks/165640/highland-park-dayton,
Highview Hills Park,Municipal Park,"Neighborhood park with playground, courts, and picnic amenities. Provides local outdoor recreation opportunities.",Active,City of Dayton,City of Dayton,,"3610 Palmerston Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.7249,-84.2495","86C4+6V Dayton, Ohio",,,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Highview-Hills-Park-Shelter-24,
Huffman MetroPark,Park District Park,"Large MetroPark along the Mad River corridor featuring meadows, lake, dam, and multi?use trails. A major regional recreation and conservation site.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"4090 Lower Valley Pike, Dayton, OH 45424",316,Dayton,Montgomery,"39.8408,-84.0715","86QV+JH Dayton, Ohio",,,,,,Lake Access; Multi Use Trail; Nature Trail; River Access,,https://www.metroparks.org/places-to-go/huffman/,
Huffman MetroPark - Dam Access Area,Fishing Access,Access area adjacent to Huffman Dam providing shoreline access and open space. Managed cooperatively by MetroParks and the Miami Conservancy District.,Active,Miami Conservancy District,Five Rivers MetroParks; Miami Conservancy District,,"4090 Lower Valley Pike, Dayton, OH 45424",,Dayton,Montgomery,"39.8408,-84.0715","86QV+JH Dayton, Ohio",Trail Access Point,Great Miami River Trail,Access Segment,Access Point,,River Access,,https://www.metroparks.org/places-to-go/huffman/,
Huffman Prairie Flying Field,National Historic Landmark,Historic prairie where the Wright brothers developed the first practical airplane. A nationally significant aviation landscape.,Active,U.S. Air Force,National Park Service; U.S. Air Force,,"Wright?Patterson AFB, Dayton, OH 45433",84,Dayton,Greene,"39.826,-84.049","86RW+6X Dayton, Ohio",,,,,,Historic Marker; Prairie Restoration Area,Listed as a National Historic Landmark.,https://www.nps.gov/thingstodo/exploring-huffman-prairie.htm,https://www.nps.gov/thingstodo/exploring-huffman-prairie.htm
Huffman Prairie Interpretive Area,Federal Park,"Interpretive site overlooking Huffman Prairie with exhibits, signage, and trails. Supports public understanding of early aviation history.",Active,National Park Service,National Park Service,,"2380 Memorial Rd., Dayton, OH 45424",,Dayton,Greene,"39.8423,-84.071","86QV+M9 Dayton, Ohio",,,,,,Interpretive Center; Nature Trail,,https://www.nps.gov/places/hpic.htm,
Huffman Prairie State Natural Landmark,National Natural Landmark,"Tallgrass prairie remnant within Wright?Patterson AFB, co?managed for ecological conservation and historical significance.",Active,Wright?Patterson Air Force Base,National Park Service; Five Rivers MetroParks,,"Wright?Patterson AFB, Dayton, OH 45433",,Dayton,Greene,"39.826,-84.049","86RW+6X Dayton, Ohio",,,,,,Prairie Restoration Area,Designated a National Natural Landmark.,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Island MetroPark,Park District Park,"River island park featuring trails, open spaces, and event areas. A central recreation site within the Dayton river corridor.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"101 E. Helena St., Dayton, OH 45404",43,Dayton,Montgomery,"39.7816,-84.1874","86GJ+R4 Dayton, Ohio",Trail Access Point,Great Miami River Trail,Access Segment,Access Point,,Multi Use Trail; Pavilion,Boathouse,https://www.metroparks.org/,
Island MetroPark Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to Island MetroPark managed for ecological protection and landscape continuity.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Helena St., Dayton, OH",,Dayton,Montgomery,"39.7816,-84.1874","86GJ+R4 Dayton, Ohio",,,,,,Wildlife Viewing Area,,,
Jane Newcom Park,Municipal Park,"Community park with sports facilities, playground, and picnic amenities. Serves surrounding residential neighborhoods.",Active,City of Dayton,City of Dayton,,"1198 Tudor Rd., Dayton, OH 45419",4.5,Dayton,Montgomery,"39.7165,-84.159","86HG+2W Dayton, Ohio",,,,,,Baseball Diamond; Basketball Court; Playground; Restroom; Tennis Court,,https://www.daytonohio.gov/facilities/facility/details/janenewcomparkshelter-24,
Jim Nichols Tennis Complex,Municipal Park,Outdoor municipal tennis complex with clay and hard courts; used for league play and youth programming.,Active,City of Dayton,City of Dayton,,"2424 Ridge Ave., Dayton, OH 45414",,Dayton,Montgomery,"39.788,-84.188","86GJ+X3 Dayton, Ohio",,,,,Tennis Court; Restroom,,https://www.destinationdayton.org/listing/jim-nichols-tennis-center/2457/,,
Keowee Street Stormwater Green,Controversial,Stormwater green infrastructure site with drainage features and vegetated basins.,Active,City of Dayton,,,"Keowee St., Dayton, OH",,Dayton,Montgomery,,,,,,,,Rain Garden,,https://www.daytonohio.gov/409/Storm-Water-Management-Program,
Kettering Field,Municipal Park,"Athletic complex with multiple fields, courts, and improved lighting; staffed municipal recreation facility.",Active,City of Dayton,City of Dayton,,"444 N. Bend Blvd., Dayton, OH 45404",,Dayton,Montgomery,"39.779,-84.178","86F7+Q7 Dayton, Ohio",,,,,Baseball Diamond; Soccer Pitch; Pickleball Court; Tennis Court; Restroom,,https://www.daytonohio.gov/CivicAlerts.aspx?AID=760,,
Linden Community Green,Municipal Park,Small municipal green space serving the Linden neighborhood.,Active,City of Dayton,City of Dayton,,"Linden neighborhood, Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Linden Heights Bikeway Access,Municipal Park,Neighborhood connector providing access to local bikeway infrastructure.,Active,City of Dayton,City of Dayton,,"Linden Heights, Dayton, OH",,Dayton,Montgomery,,,,Bikeway Access Point,,Access Segment,Access Point,,,,https://www.miamivalleytrails.org
Liscum Drive Green,Municipal Park,Small municipal green space along Liscum Drive.,Active,City of Dayton,City of Dayton,,"Liscum Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Lohrey Park,Municipal Park,"Municipal park with playground, open green space, and walking paths.",Active,City of Dayton,City of Dayton,,"2366 Glenarm Ave., Dayton, OH 45420",,Dayton,Montgomery,"39.725,-84.124","86C4+6V Dayton, Ohio",,,,,Playground; Basketball Court; Restroom,,https://www.mypacer.com/parks/165641/lohrey-park-dayton,,
Lohrey Recreation Center,Municipal Park,"Indoor recreation facility with gymnasium, pool, fitness center, and multipurpose rooms.",Active,City of Dayton,City of Dayton,,"2366 Glenarm Ave., Dayton, OH 45420",,Dayton,Montgomery,"39.725,-84.124","86C4+6V Dayton, Ohio",,,,,Swimming Pool; Community Center; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Lohrey-Recreation-Center-25,,
Loma Linda Park,Municipal Park,"Neighborhood park with playground, open green space, and walking paths.",Active,City of Dayton,City of Dayton,,"3500 Valerie Arms Dr., Dayton, OH 45405",,Dayton,Montgomery,"39.802,-84.238","86C2+5X Dayton, Ohio",,,,,Playground; Restroom,,https://www.mypacer.com/parks/165642/loma-linda-park-dayton,,
MacIntosh Park,Municipal Park,"Municipal park with sports courts, picnic areas, restrooms, and playground facilities.",Active,City of Dayton,City of Dayton,,"Edwin C. Moses Blvd. at W. Riverview Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.764,-84.204","86F6+4C Dayton, Ohio",,,,,Basketball Court; Picnic Shelter; Restroom; Playground,,https://www.daytonohio.gov/Facilities/Facility/Details/MacIntosh-Park-17,,
Mad River Bikeway Access (MetroParks),Trail Access Point,Access point to the Mad River Trail within Eastwood MetroPark.,Active,Five Rivers MetroParks,,,"Near Eastwood MetroPark, Dayton, OH",,Dayton,Montgomery,"39.7790,-84.1220",,Bikeway Access Point,Mad River Bikeway,Access Segment,Access Point,,,Access point contained within Eastwood MetroPark,https://www.miamivalleytrails.org/trails/mad-river-trail,
Mad River Conservancy Corridor,Water Authority Land,Federal flood?control corridor along the Mad River maintained by the Miami Conservancy District.,Active,Miami Conservancy District,Miami Conservancy District,,"Near Harshman Rd., Dayton, OH 45424",,Dayton,Montgomery,"39.78,-84.11","86F9+H3 Dayton, Ohio",,,,,Flood Control Area,,https://mcdwater.org,,
Mad River North Connector,Controversial,Trail corridor linking Eastwood and Huffman areas; alignment under review.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Harshman Rd., Dayton, OH",,Dayton,Montgomery,"39.7790,-84.1220",,,Connector Trail,Mad River Bikeway,Connector,Connector,,,,https://www.miamivalleytrails.org
Mallory Park,Municipal Park,"Municipal park with playground, picnic facilities, restrooms, and basketball court.",Active,City of Dayton,City of Dayton,,"Germantown St. at Burwood Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.741,-84.245","86C3+QW Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Mallory-Park-Shelter-18,,
McCabe Park,Municipal Park,"Municipal park with playground, restrooms, picnic tables, and basketball court.",Active,City of Dayton,City of Dayton,,"3200 Home Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.741,-84.245","86C3+QW Dayton, Ohio",,,,,Playground; Basketball Court; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/McCabe-Park-Shelter-19,,
McIntosh Park,Municipal Park,"Municipal park with spray park, playground, courts, picnic shelter, and open green space used for community events.",Active,City of Dayton,City of Dayton,,"Edwin C. Moses Blvd. at W. Riverview Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.764,-84.204","86F6+4C Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonlocal.com/directory/parks/mcintosh-park/,,
Miami Conservancy District Flood?Control Lands - Mad River,Water Authority Land,Flood?control corridor along the Mad River maintained by the Miami Conservancy District.,Active,Miami Conservancy District,Miami Conservancy District,,"Near Harshman Rd., Dayton, OH 45424",,Dayton,Montgomery,"39.78,-84.11","86F9+H3 Dayton, Ohio",,,,,Flood Control Area,Descriptive name; MCD does not assign formal site names to flood?control lands.,https://mcdwater.org,,
Mud Lick or Jasper Road Covered Bridge,Covered Bridge,Historic covered Warren truss bridge (Bridge ID 35?57?36); privately owned.,Active,Private,Private,,,,Dayton,Montgomery,,,,,,,,Historic Marker,Private property.,,
National Aviation Hall of Fame,Museum,National aviation honors museum located inside the National Museum of the U.S. Air Force.,Active,U.S. Air Force,U.S. Air Force,,"1100 Spaatz St., Dayton, OH 45433",,Dayton,Montgomery,"39.781,-84.11","86F9+Q6 Dayton, Ohio",,,,,Museum,,https://www.nationalaviation.org,,
National Museum of the United States Air Force,Museum,World's largest military aviation museum with extensive exhibits and historic aircraft.,Active,U.S. Air Force,U.S. Air Force,,"1100 Spaatz St., Dayton, OH 45433",1000+,Dayton,Montgomery,"39.781,-84.11","86F9+Q6 Dayton, Ohio",,,,,Museum,Major national museum,https://www.nationalmuseum.af.mil,,
Needmore Conservation Area,Park District Conservation Area,Conservation land along the Stillwater River managed for habitat protection.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,,,,
Nordale Park,Municipal Park,"Neighborhood park with playground, pavilion, picnic tables, courts, open field, and shaded areas.",Active,City of Dayton,City of Dayton,,"Nordale Ave. at Enterprise Ave., Dayton, OH 45420",7.8,Dayton,Montgomery,"39.741,-84.14","86C5+QW Dayton, Ohio",,,,,Playground; Picnic Shelter; Basketball Court,,https://parkmagnet.com/united-states/ohio/dayton/nordale-park,,
