Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,
Eintracht River Access,Fishing Access,"River access site with non‑motorized boat launch, parking, and picnic seating",Active,City of Riverside,City of Riverside,,"2707 Old Troy Pike, Dayton, OH 45404",,Riverside,Montgomery,,,Trail Access Point,Great Miami River Water Trail,None,Access Point,,Boat Ramp;River Access;Parking,,https://cms3.revize.com/revize/riverside/Parks%20&%20Recreation%20Amenities.pdf?t=202508061644210&t=202508061644210,
Elizabeth Gardens,Municipal Park,Formal public garden with landscaped beds and seating areas,Active,City of Oakwood,City of Oakwood,,Elizabeth Ct.,,Oakwood,Montgomery,,,None,,None,None,,,Companion site to Smith Gardens,,
Elizabeth Hoy Park,Park District Park,Open green space with whale climber; paved trail connection,Active,Centerville–Washington Park District,Centerville–Washington Park District,,185 Hampton Drive,4.058,Centerville,Montgomery,,,None,,,,,Paved multi-use trail,Dedicated 1973; transferred 1979,https://cwpd.org/parks/elizabeth-hoy/,
Ellerton Cemetery,Cemetery,"Rural cemetery with open lawn, tree cover, and passive recreation access",Active,Miami Township,Miami Township,,"6480 Farmersville West Carrollton Rd, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.6351,-84.3360",,None,,None,None,,,Qualifies due to canopy and passive walking access.,,
Englewood Dam Recreation Area,Army Corps of Engineers Property,"Recreation area with trails, river access, and open space",Active,,U.S. Army Corps of Engineers,,"Near U.S. 40, Englewood, OH 45322",,Randolph Township,Montgomery,,,,,,,,,Part of Miami Conservancy District flood control system,,
Englewood MetroPark,Park District Park,"Large regional natural area with waterfalls, forest, river corridor, dam, and multiple trail systems",Active,Five Rivers MetroParks,Five Rivers MetroParks,,4361 National Rd.,1900,Englewood,Montgomery,"39.8795,-84.3160","86GJ+Q4 Englewood, Ohio",Yes,,,,,,Includes Martindale Falls; Includes Englewood Dam (MCD) and multiple waterfalls,https://www.metroparks.org/places-to-go/englewood-metropark/,
Englewood Reserve (formerly Englewood Hills South Park),Municipal Park,Wooded neighborhood park with trails and natural areas,Active,City of Englewood,City of Englewood,,400 S. Main St.,,Englewood,Montgomery,,,None,,None,None,,,,https://www.englewood.oh.us/,
Englewood Reserve Bikeway,Land Trail,Paved bikeway corridor within Englewood’s recreational network,Active,City of Englewood,City of Englewood,,"Englewood, Ohio 45322",,Englewood,Montgomery,,,Trail System,,Linear,None,,Multi-Use Trail,Segment and amenity details generalized from city bikeways brochure,https://www.englewood.oh.us/189/Parks-Playgrounds,
Englewood YMCA,Recreation Facility,Recreation facility and grounds associated with the Englewood YMCA,Active,City of Englewood,City of Englewood,,"West National Road, Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Ernst Park,Municipal Park,Shelter; grills; bike/walking paths; playground; drinking fountains; picnic tables,Active,City of Kettering,City of Kettering,,"1030 E. David Rd., Kettering, OH 45429",14,Kettering,Montgomery,"39.6894,-84.1477",,None,,None,None,,,,https://www.playkettering.org/ernst-park/,
Fairmont Triangle,Municipal Park,Small landscaped traffic‑island green with ornamental plantings,Active,City of Oakwood,City of Oakwood,,Far Hills Ave. & Thruston Blvd.,,Oakwood,Montgomery,,,None,,None,None,,,Recognized micro‑park within Oakwood’s civic landscape.,,
Fairridge Park,Municipal Park,Small neighborhood park with open lawn and informal recreation space,Active,City of Oakwood,City of Oakwood,,2100 Far Hills Ave. (approx.),,Oakwood,Montgomery,,,None,,None,None,,,Small green space serving nearby residential area.,,
Feedwire Road Covered Bridge,Covered Bridge,Wooden covered bridge relocated from Little Sugar Creek; preserved within Carillon Historical Park,Preserved,City of Dayton,City of Dayton,,"Carillon Historical Park, 1000 Carillon Blvd., Dayton, OH 45409",,Dayton,Montgomery,"39.728,-84.200",,None,,None,None,,,Originally located on Feedwire Road; only covered bridge in the park,https://www.daytonhistory.org/,
Fence Row Park,Park District Park,"Neighborhood park with climbers, swings, and picnic tables",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1650 Haley Drive,2.0169,Centerville,Montgomery,,,None,,,,,Informal play area,Acquired 1979–2001,https://cwpd.org/parks/fence-row/,
Fishburg Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Fishburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,Bikeway Access,,,,,,,https://www.miamivalleytrails.org,
Five Oaks Park,Municipal Park,Baseball/softball diamond; electricity; picnic tables; playground; restrooms; spray park; water availability,Active,City of Dayton,City of Dayton,,"300 5 Oaks Ave., Dayton, OH 45405",,Dayton,Montgomery,"39.7790,-84.2160",,None,,None,None,,,,https://www.daytonohio.gov/facilities/facility/details/Five-Oaks-Park-Shelter-22,
Flyer Field at Kitty Hawk Park,Municipal Park,Open greenspace with dog park,Active,City of Huber Heights,City of Huber Heights,,"5210 Sabra Ave, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,,,,,,
Forest Field Park,Park District Park,"Community park and arboretum with trails, courts, fields, and natural play area",Active,Centerville–Washington Park District,Centerville–Washington Park District,,2100 E. Centerville Station Rd.,44.274,Centerville,Montgomery,,,None,,,,,Paved loop (.5 mile),AED; EV charging; grill; Little Free Library; pickleball; rain garden; restrooms; courts; parking,https://cwpd.org/parks/forest-field/,
Forest Walk Park,Park District Park,"Nature park with wooded trails, stream, and play equipment at both entrances",Active,Centerville–Washington Park District,Centerville–Washington Park District,,7570 Forest Brook Boulevard; 1193 Deer Run Road,8.278,Centerville,Montgomery,,,None,,None,None,,Acquired 1979 & 2000 via open space transfer; stream corridor; two access points,https://cwpd.org/parks/forest-walk/,,
Frederick Pike / Shoup Mill Conservation Tract,Park District Conservation Area,Riparian forest and floodplain habitat near Frederick Pike and Shoup Mill Rd; important for water quality and wildlife movement,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,None,,None,None,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Friend Park,Municipal Park,Playground equipment; bike trail access; half basketball court,Active,City of West Carrollton,City of West Carrollton,,155 Squire St.,,West Carrollton,Montgomery,,,None,,None,None,,,Bike trail access; neighborhood park with mixed recreation amenities.,,
Friendship Park,Township Park,Small community green at rural crossroads,Active,German Township,,,"Dayton Germantown Pike at Friend Rd., Germantown, OH 45327",,German Township,Montgomery,"39.6885,-84.4020",,No,,,,,,,,
Garden Plots,Municipal Park,Community garden plots available for seasonal rental,Active,City of Moraine,City of Moraine,,4200 Dryden Road,2,Moraine,Montgomery,,,None,,None,None,,,Community agriculture site.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Gary Sherman Park,Municipal Park,Neighborhood park with playground and lawn,Active,City of Huber Heights,City of Huber Heights,,"6109–6121 Taylorsville Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,,,,,,
Gateway Park,Municipal Park,Picnic tables and Veterans & First Responders Memorial,Active,City of Brookville,City of Brookville,,Upper Lewisburg Salem Rd. & Arlington Rd.,,Brookville,Montgomery,,,None,,None,,,,Small memorial-focused park,,
Gazebo Park,Municipal Park,Small municipal park centered on a gazebo structure,Active,City of Englewood,City of Englewood,,"Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Gebhart Church Cemetery,Cemetery,"Historic cemetery with mature trees, wildlife presence, and passive walking access",Active,Miami Township,Miami Township,,"2717 Gebhart Church Rd, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.6248,-84.2722",,None,,None,None,,,"Qualifies due to canopy, wildlife, and public access.",,
Gentile Nature Park,Municipal Park,Zipline; nature playground; bike path connector; historical displays; walking path,Active,City of Kettering,City of Kettering,,"915 Peach Orchard Rd., Kettering, OH 45420",19,Kettering,Montgomery,"39.7170,-84.1347",,None,,None,None,,,,https://www.playkettering.org/gentile-nature-park/,
George Taylor Park,Municipal Park,Playground equipment; picnic tables; grills; shelters; basketball courts; tennis court,Active,City of Moraine,City of Moraine,,4709 E. Venetian Way,2,Moraine,Montgomery,,,None,,None,None,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
German Village Park,Municipal Park,Playground equipment; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,4700 Pinnacle Road,1,Moraine,Montgomery,,,None,,None,None,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Germantown / Twin Creek Wilderness Tract,Park District Conservation Area,"Large wilderness area with deep ravines, mature forest, and high‑quality streams",Active,Five Rivers MetroParks,Five Rivers MetroParks,,Germantown Area,,Germantown,Montgomery,,,None,,None,None,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Germantown Connector Greenway,Controversial,Greenway corridor linking Germantown MetroPark and Twin Creek,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Conservancy Rd., Germantown, OH",,Germantown,Montgomery,,,None,,None,None,,,Connector greenway,,
Germantown Covered Bridge,Covered Bridge,Historic 1870 covered bridge over Little Twin Creek (Bridge ID 35‑57‑01),Active,City of Germantown,City of Germantown,,"West Center St., Germantown, OH 45327",,Germantown,Montgomery,"39.6260,-84.3690",,None,,None,None,,,Historic covered bridge.,,
Germantown Dam Recreation Area,Federal Recreation Area,USACE/MCD recreation area with river access and natural habitat,Active,U.S. Army Corps of Engineers,U.S. Army Corps of Engineers,,"Conservancy Rd., Germantown, OH 45327",,Germantown,Montgomery,"39.6505,-84.3780",,None,,None,None,,,Part of Miami Conservancy District flood‑control system.,,
Germantown MetroPark,Park District Park,"Large MetroPark with old-growth forest, ravines, prairies, meadows, and Twin Creek corridor",Active,Five Rivers MetroParks,Five Rivers MetroParks,,7101 Conservancy Rd.; 6206 Boomershine Rd,1655,Germantown,Montgomery,,,Yes,,,,,,Main entrance; multiple trailheads,https://www.metroparks.org/places-to-go/germantown/,
Gettysburg Avenue Green,Municipal Park,No listed amenities; potential redevelopment green space,Active,City of Dayton,City of Dayton,,"N. Gettysburg Ave., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.wdtn.com/news/dayton-repurposes-old-gas-station-sites-for-new-developments/,
Gettysburg Stormwater Green,Controversial,Stormwater green infrastructure; drainage features; vegetation,Active,City of Dayton,,,"Gettysburg Ave., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,,,,,,,,https://www.daytonohio.gov/409/Storm-Water-Management-Program,
Glaser Park,Municipal Park,Railroad-themed playground; swings; basketball court; picnic tables; walking loop,Active,City of Kettering,City of Kettering,,"1851 Doris Dr., Kettering, OH 45429",0.8,Kettering,Montgomery,"39.6957,-84.1690",,None,,None,None,,,,https://www.playkettering.org/glaser-park/,
Golden Gate Park,Municipal Park,"Community park with playground, fields, courts, and shelters",Active,City of Brookville,City of Brookville,,"545 Upper Lewisburg Salem Rd., Brookville, OH",,Brookville,Montgomery,,,None,,None,,,,Primary community park,,
Government Center Playground,Municipal Park,Playground area at or near the Englewood Government Center,Active,City of Englewood,City of Englewood,,"Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,Playground,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Grant Park,Park District Park,"Large natural area with creeks, meadow, forest, prairie, wetlands, and extensive trails",Active,Centerville–Washington Park District,Centerville–Washington Park District,,501 Normandy Ridge Rd; 6588 McEwen Rd; 616 Grant’s Trail,222.48,Centerville,Montgomery,,,None,,,,,,Hiking trails; paved loop; nature literature trail,Fire circles; sled hills; wetland; restrooms; historic notes,https://cwpd.org/parks/grant/
Grantwood Park,Municipal Park,Picnic shelter; playground equipment; basketball court,Active,City of West Carrollton,City of West Carrollton,,35 Grantwood Ave.,,West Carrollton,Montgomery,,,None,,None,None,,,Standard neighborhood park amenities.,,
Great Miami Mitigation Bank Conservation Area,Park District Conservation Area,A 360‑acre wetland and stream mitigation bank restored and managed by MetroParks; major bird habitat,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"2765 N Snyder Rd, Dayton, OH 45426",360,,Montgomery,"39.8180,-84.3430",,None,,None,None,,,Part of Spring Run Conservation Area; adjacent to Sycamore State Park.,https://www.metroparks.org/places-to-go/spring-run/,
Great Miami River Access — Medlar Road,Fishing Access,Roadside public access to Great Miami River near Medlar Conservation Area,Active,"Miami Township, Ohio",,,"Medlar Rd at Great Miami River, Miamisburg, OH 45342",,Miami Township,Montgomery,"39.5985,-84.2808",,Yes,,,,,,Verified public river access point,,
Great Miami River Access (MetroParks),River Access,River access point managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Carillon Blvd., Dayton, OH",,Dayton,Montgomery,,,Yes,,,,,,River access,,
Great Miami River Corridor (Dayton Segment),Municipal Park,Trail access; paved multi-use path; river corridor access,Active,City of Dayton,City of Dayton,,"Great Miami River, Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Great Miami River Corridor (Miami Township Segment),Controversial,Riparian corridor along the Great Miami River with public access at crossings; Regional paved trail along the Great Miami River with multiple access points,Active,Miami Township,Miami Township,,"Near Dayton‑Cincinnati Pike, Miamisburg, OH 45342",,,Montgomery,"39.6200,-84.2700",,None,,None,None,,,Linear natural corridor with ecological value; Official regional trail; only Miami Township segments included,,
Great Miami River Floodplain Tract,Park District Conservation Area,"Floodplain forest, wetlands, and riparian habitat along the Great Miami River",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,None,,None,None,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Great Miami River Trail Corridor (MetroParks),Controversial,Riverfront bikeway corridor managed by MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Along Great Miami River, Montgomery County",,Montgomery,Montgomery,,,None,,None,None,,,Part of regional bikeway network,,
Great Miami South Connector,Controversial,Greenway corridor linking Miamisburg and West Carrollton,Active,Five Rivers MetroParks,Five Rivers MetroParks,,Along Great Miami River south of Dayton,,,Montgomery,,,None,,None,None,,,Linear natural corridor,,
Great Miami Valley Trail,Municipal Park,Regional paved multi-use trail following the Great Miami River,Active,City of Moraine,City of Moraine,,Various access points,,Moraine,Montgomery,,,None,,None,None,,,Part of the regional trail network.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Greater Dayton Recreation Center,Municipal Park,Gymnasium; fitness center; indoor track; multipurpose rooms; community programming,Active,City of Dayton,City of Dayton,,"2021 W. Third St., Dayton, OH 45417",,Dayton,Montgomery,"39.7570,-84.2280",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Greater-Dayton-Recreation-Center-23,
Green Park,Park District Park,"Neighborhood park with open sports area, tennis court, play equipment, and shelter",Active,Centerville–Washington Park District,Centerville–Washington Park District,,6661 Green Park Drive,5,Centerville,Montgomery,,,None,,,,,,Informal open play area,Drinking fountain; shelter; tennis court; acquired 1964,https://cwpd.org/parks/green/
Greene Line Park,Park District Park,"Large neighborhood park with wooded trails, stream, sled hill, grill, picnic tables, and play equipment",Active,Centerville–Washington Park District,Centerville–Washington Park District,,6774 Crossbrook Drive; 2170 Briggs Drive,11.325,Centerville,Montgomery,,,None,,,,,,Hiking trails,Stream; sled hill; grill; picnic tables; acquired 1991–1992,https://cwpd.org/parks/greene-line/
Hardscrabble Park,Municipal Park,Wooded natural area with informal trails,Active,City of Clayton,City of Clayton,,100 W. Mill St.,,Clayton,Montgomery,,,None,,None,None,,,Verified via Facility/Details/1.,http://clayton.oh.us/Facilities/Facility/Details/1,
Harmon Park,Municipal Park,Playground equipment; half basketball court; three baseball fields; lighted football field,Active,City of West Carrollton,City of West Carrollton,,545 N. Elm St.,,West Carrollton,Montgomery,,,None,,None,None,,,Includes multiple ballfields.,,
Helke Park,Municipal Park,Major community park with playgrounds; lit courts; ballfields; disc golf; shelters; restrooms,Active,City of Vandalia,City of Vandalia,,"Randler Ave, Vandalia, OH 45377",30.5,Vandalia,Montgomery,"39.8895,-84.2010",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Helke-Park-6,
Herbert C. Huber Community Park,Municipal Park,"Also known as Community Park; playground, shelter, open greenspace",Active,City of Huber Heights,City of Huber Heights,,"8625 Brandt Pike, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,None,,None,,,,,https://huberheights.org,
Heritage Village: Gebhart Tavern & Jacob Kercher Cabin,Historic Site,Historic structures preserved as part of Heritage Village,Active,City of Miamisburg,City of Miamisburg,,104 Old Main St.,,Miamisburg,Montgomery,,,None,,None,None,,,Historic structures,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Hickorydale Park,Municipal Park,Walking paths; wooded areas; open green space,Active,City of Dayton,City of Dayton,,"3000 Shiloh Springs Rd., Dayton, OH 45406",,Dayton,Montgomery,"39.8020,-84.2580",,None,,None,None,,,,https://www.mypacer.com/parks/165639/hickorydale-park-dayton,
Highland Park,Municipal Park,Playground; basketball court; open green space,Active,City of Dayton,City of Dayton,,"2000 Revere Ave., Dayton, OH 45406",,Dayton,Montgomery,"39.7830,-84.2400",,None,,None,None,,,,https://www.mypacer.com/parks/165640/highland-park-dayton,
Highview Hills Park,Municipal Park,Basketball court; playground; restrooms; picnic tables; water availability,Active,City of Dayton,City of Dayton,,"3610 Palmerston Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.7440,-84.2480",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Highview-Hills-Park-Shelter-24,
Hillgrove Cemetery,Cemetery,"Historic cemetery with mature canopy, wildlife presence, and passive walking access",Active,Miami Township,Miami Township,,"1002 E Central Ave, Miamisburg, OH 45342",,Miamisburg,Montgomery,"39.6421,-84.2608",,None,,None,None,,,"Qualifies due to canopy, wildlife, and public access.",,
Hills & Dales MetroPark,Park District Park,Historic Olmsted‑designed park with trails and wetlands,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,63,Kettering,Montgomery,,,Yes,,,,,,,,
Hintermeister Park,Municipal Park,Natural walking trails; butterfly garden; dog park; picnic shelter; restrooms; playground; basketball court,Active,City of West Carrollton,City of West Carrollton,,1300 Mayrose Dr.,,West Carrollton,Montgomery,,,None,,None,None,,,Contains natural‑area features including trails and pollinator habitat.,,
History Center,Museum,Local history museum and cultural site,Active,City of Miamisburg,City of Miamisburg,,35 S. Fifth St.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Hithergreen Park,Park District Park,"Neighborhood park on the former Hithergreen Center site; features hiking trail, paved multi-use trail (.25 mile), picnic tables, play equipment, and a small shelter",Active,Centerville–Washington Park District,Centerville–Washington Park District,,5900 Hithergreen Drive,14.889,Centerville,Montgomery,,,,,,,,Hiking trail; paved multi-use trail (.25 mile),Acquired from Washington Township in 2019; funded by Clean Ohio grant,https://cwpd.org/parks/hithergreen/,
Holes Creek Corridor (Miami Township Segment),Controversial,Officially recognized riparian corridor with public access at multiple road crossings,Active,Montgomery County,Montgomery County,,"Holes Creek through Miami Township, OH",,,Montgomery,"39.6260,-84.2490",,None,,None,None,,,Verified hydrological corridor with ecological value,,
Holes Creek Park,Park District Park,"Nature park with 1.3-mile paved multi-use trail, 3 bridge crossings, and stream corridor; connects to Yankee Trace trails",Active,Centerville–Washington Park District,Centerville–Washington Park District,,8575 Yankee Street,25.197,Centerville,Montgomery,,,,,,,,Paved multi-use trail (1.3 miles),Gazebo; stream; Clean Ohio Trails grant; acquired 1994–2002,https://cwpd.org/parks/holes-creek/,
Holp Road Cemetery,Cemetery,Historic cemetery with mature trees and open space,Active,German Township,German Township,,"8200 Holp Rd., Farmersville, OH 45325",,German Township,Montgomery,"39.6790,-84.4290",,None,,None,None,,,,,
Houk Stream / Houk Meadows,Municipal Park,"Natural corridor with streamside greenway, meadows, and informal walking routes",Active,City of Oakwood,City of Oakwood,,Along Houk Stream between Shafor Blvd. & Far Hills Ave.,,Oakwood,Montgomery,,,None,,None,None,,,Linear greenway integrated into neighborhood fabric.,,
Huber Heights Athletic Fields,Recreation Facility,City-managed athletic fields for youth sports,Active,City of Huber Heights,City of Huber Heights,,"Multiple sites, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights Senior Center,Recreation Facility,"Senior programs, events, and community activities",Active,City of Huber Heights,City of Huber Heights,,"6428 Chambersburg Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights YMCA,Recreation Facility,"City-partnered YMCA facility offering fitness, aquatics, and programs",Active,YMCA; City of Huber Heights,YMCA; City of Huber Heights,,"7251 Shull Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huffman Dam,Dam,Flood‑control dam on the Mad River; part of the Miami Conservancy District system; adjacent to Huffman MetroPark,Active,Miami Conservancy District,Miami Conservancy District,,"Near Lower Valley Pike, Dayton, OH 45424",,Riverside,Greene,"39.7800,-84.1100","86F9+H3 Dayton, Ohio",None,,None,None,,,Part of the MCD flood‑control system; adjacent to Huffman MetroPark.,https://mcdwater.org,
Huffman Dam - USACE River Access,River Access,River access and open space near Huffman Dam,Active,U.S. Army Corps of Engineers,U.S. Army Corps of Engineers,,"Near Lower Valley Pike, Dayton, OH 45424",,Mad River Township,Greene,,,Yes,,,,,,Adjacent to Huffman MetroPark,,
Huffman MetroPark,Park District Park,"Large river‑corridor MetroPark with lake, dam, meadows, trails, and river access",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"4090 Lower Valley Pike, Dayton, OH 45424",316,Dayton,Montgomery,"39.8000,-84.0930","86C6+V7 Dayton, Ohio",None,,None,None,,,Includes Dam Access Area; adjacent to Huffman Dam,https://www.metroparks.org/places-to-go/huffman/; https://mcdwater.org,
Huffman MetroPark - Dam Access Area,Fishing Access,River access and open space near Huffman Dam; contained within Huffman MetroPark,Active,,Five Rivers MetroParks; Miami Conservancy District,,"4090 Lower Valley Pike, Dayton, OH 45424",,Dayton,Montgomery,"39.8000, -84.0930","86C6+V7 Dayton, Ohio",Yes,,,,,,Part of Huffman MetroPark; adjacent to Huffman Dam,https://www.metroparks.org/places-to-go/huffman/,
Huffman Park,Park District Park,"Natural area with meandering stream, wildlife habitat, and no formal trails or parking",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1616 W. Alex-Bell Road,12.448,Centerville,Montgomery,,,None,,None,None,,Donated in 1974 by Huffman family; designated to remain in natural state,https://cwpd.org/parks/huffman/,,
Huffman Prairie Flying Field,National Historic Landmark,Historic prairie where the Wright brothers developed the first practical airplane,Active,National Park Service; U.S. Air Force,National Park Service; U.S. Air Force,,"Wright‑Patterson AFB, Dayton, OH 45433",84,Dayton,Greene,"39.8130,-84.0780","86QV+J3 Dayton, Ohio",None,,None,None,,,Part of Dayton Aviation Heritage NHP; National Historic Landmark,https://www.nps.gov/thingstodo/exploring-huffman-prairie.htm,
Huffman Prairie Interpretive Area,Federal Interpretive Site,"Interpretive center with exhibits, trails, and signage overlooking Huffman Prairie",Active,National Park Service,National Park Service,,"2380 Memorial Rd., Dayton, OH 45424",,Dayton,Greene,"39.8149,-84.0718","86QW+3R Dayton, Ohio",None,,None,None,,,Part of Dayton Aviation Heritage NHP; near Wright Brothers Hill.,https://www.nps.gov/places/hpic.htm,
Huffman Prairie State Natural Landmark,State Natural Landmark,One of Ohio’s largest remaining tallgrass prairies; site of Wright Brothers’ early flight experiments,Active,Wright‑Patterson Air Force Base,National Park Service,Five Rivers MetroParks,"Wright‑Patterson AFB, Dayton, OH 45433",,Dayton,Greene,,,None,,None,None,,,Cooperative ecological stewardship site with inter‑agency management.,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Indian Riffle Park,Municipal Park,Accessible playground; shelters; paved loop trail; fishing pond; ball fields; sledding hill; restrooms,Active,City of Kettering,City of Kettering,,"2801 E. Stroop Rd., Kettering, OH 45440",,Kettering,Montgomery,"39.6946,-84.1298",,None,,None,None,,,,https://www.playkettering.org/indian-riffle-park/,
Irelan Park,Municipal Park,Two shelters; playground; volleyball courts; ball diamonds; drinking fountains; grills; walking paths,Active,City of Kettering,City of Kettering,,"4532 Marshall Rd., Kettering, OH 45429",16,Kettering,Montgomery,"39.6865,-84.1597",,None,,None,None,,,,https://www.playkettering.org/irelan-park/,
Iron Horse Park,Park District Park,"Community park with baseball diamonds, soccer fields, paved Iron Horse Trail, perimeter loop, playground themed after Dayton–Cincinnati Railroad, and diverse tree species",Active,Centerville–Washington Park District,Centerville–Washington Park District,,6161 Millshire Dr.,31.833,Centerville,Montgomery,,,,,,,,Paved multi-use trails (Iron Horse Trail + 0.6-mile loop),AED; air pump; grill; restrooms; sled hill; parking,https://cwpd.org/parks/iron-horse/,
Irving Field,Municipal Park,Baseball field; open green space; informal recreation area,Active,City of Oakwood,City of Oakwood,,210 Irving Ave.,,Oakwood,Montgomery,,,None,,None,None,,,Primarily an athletic field with surrounding green space.,,
Irving Field Annex,Municipal Park,Small open field adjacent to Irving Field used for informal recreation,Active,City of Oakwood,City of Oakwood,,Near 210 Irving Ave.,,Oakwood,Montgomery,,,None,,None,None,,,Secondary green space associated with Irving Field.,,
Island MetroPark,Park District Park,River island park with trails and event spaces,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,43,Dayton,Montgomery,,,Yes,,,,,,River island,,
Island MetroPark Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to Island MetroPark,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Helena St., Dayton, OH",,Dayton,Montgomery,,,None,,None,None,,,,,
Jake Grossnickle Memorial Park,Municipal Park,Memorial park serving surrounding neighborhoods within Englewood’s park system,Active,City of Englewood,City of Englewood,,"137 Heathcliff Road, Englewood, Ohio 45322",,Englewood,Montgomery,,,Trailhead,Englewood Reserve Bikeway,None,Trailhead,3,,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Jake Grossnickle Park,Municipal Park,Neighborhood park with playground and open space,Active,City of Englewood,City of Englewood,,,,Englewood,Montgomery,,,None,,None,None,,,,https://www.englewood.oh.us/,
Jane Newcom Park,Municipal Park,Baseball/softball diamond; basketball court; electricity; picnic tables; playground; restrooms; tennis court; water availability,Active,City of Dayton,City of Dayton,,"1198 Tudor Rd., Dayton, OH 45419",4.5,Dayton,Montgomery,"39.7250,-84.1550",,None,,None,None,,,,https://www.daytonohio.gov/facilities/facility/details/janenewcomparkshelter-24,
Jeffers Park / Community Gardens,Municipal Park,Neighborhood park with play structure; courts; greenspace; 22 rentable community garden plots,Active,City of Vandalia,City of Vandalia,,"407 Halcyon Ave, Vandalia, OH 45377",,Vandalia,Montgomery,"39.8892,-84.1970",,None,,None,None,,,,https://vandaliaohio.org/Facilities/Facility/Details/Jeffers-Park-Community-Gardens-5,
Jim Nichols Tennis Complex,Municipal Park,6 clay courts; 3 hard courts; lighting; outdoor facility; league play; youth camps,Active,City of Dayton,City of Dayton,,"2424 Ridge Ave., Dayton, OH 45414",,Dayton,Montgomery,"39.7880,-84.1880",,None,,None,None,,,,https://www.destinationdayton.org/listing/jim-nichols-tennis-center/2457/,
John Wolfe Park,Municipal Park,Picnic shelter; playground; fishing pond; basketball court,Active,City of Trotwood,City of Trotwood,,"4030 Denlinger Rd, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7889,-84.2607",,None,,None,None,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php,
